Minggu,Ganjar Pranowo,Prabowo Subianto,Anies Baswedan
2022-10-16,25,11,50
2022-10-23,27,10,31
2022-10-30,15,12,25
2022-11-06,11,14,22
2022-11-13,12,14,31
2022-11-20,12,10,18
2022-11-27,15,13,19
2022-12-04,11,11,20
2022-12-11,10,10,21
2022-12-18,10,9,16
2022-12-25,12,10,19
2023-01-01,13,10,19
2023-01-08,15,10,17
2023-01-15,10,9,15
2023-01-22,10,11,25
2023-01-29,11,12,31
2023-02-05,13,13,27
2023-02-12,10,19,19
2023-02-19,10,14,21
2023-02-26,10,10,20
2023-03-05,10,15,20
2023-03-12,11,14,16
2023-03-19,13,15,17
2023-03-26,97,18,16
2023-04-02,29,16,13
2023-04-09,14,15,13
2023-04-16,55,23,17
2023-04-23,70,44,32
2023-04-30,42,36,33
2023-05-07,29,26,34
2023-05-14,34,36,29
2023-05-21,29,37,33
2023-05-28,25,26,33
2023-06-04,40,31,36
2023-06-11,27,26,27
2023-06-18,22,23,27
2023-06-25,28,26,29
2023-07-02,21,27,24
2023-07-09,29,44,38
2023-07-16,34,36,31
2023-07-23,27,28,26
2023-07-30,23,32,23
2023-08-06,21,29,28
2023-08-13,33,63,29
2023-08-20,34,39,32
2023-08-27,35,51,97
2023-09-03,55,54,56
2023-09-10,50,53,35
2023-09-17,59,100,44
2023-09-24,45,61,35
2023-10-01,42,53,30
2023-10-08,67,58,34
